0	0
1	0				
2	0				
3	0				
4	0				
5	0				
6	0				
7	0				
8	0				
9	0				
10	0				
11	0				
12	0				
13	0				
14	0				
15	0				
16	0				
17	0				
18	0				
19	0				
20	0				
21	1.2				
22	4.2				
23	7.3				
24	8.8				
25	10.8				
26	12.3				
27	13.1				
28	12.3				
29	12.3				
30	11.5				
31	11.5				
32	11.1				
33	11.1				
34	11.1				
35	13.1				
36	15				
37	16.9				
38	16.9				
39	16.1				
40	15.7				
41	15.4				
42	15				
43	13.8				
44	10.8				
45	8.4				
46	6.1				
47	4.2				
48	3.5				
49	3.5				
50	1.5				
51	0				
52	0				
53	0				
54	0				
55	0				
56	0				
57	0				
58	0				
59	0				
60	0				
61	0				
62	0				
63	1.2				
64	3.5				
65	7.7				
66	11.1				
67	13.8				
68	16.5				
69	18.4				
70	20.4				
71	20.7				
72	19.6				
73	17.3				
74	12.3				
75	8.1				
76	6.1				
77	9.6				
78	12.7				
79	15.7				
80	18				
81	20.4				
82	21.9				
83	23.4				
84	23.8				
85	24.6				
86	25				
87	26.1				
88	26.1				
89	26.9				
90	26.9				
91	26.9				
92	26.5				
93	25.7				
94	21.9				
95	16.5				
96	10				
97	4.6				
98	1.5				
99	0.4				
100	0				
101	0				
102	0				
103	0				
104	0				
105	0				
106	0				
107	0				
108	0.4				
109	1.2				
110	1.9				
111	3.8				
112	7.7				
113	11.5				
114	14.6				
115	18				
116	21.5				
117	25				
118	28.4				
119	30.7				
120	31.9				
121	32.3				
122	32.3				
123	31.9				
124	30.3				
125	28				
126	24.2				
127	20				
128	16.1				
129	11.5				
130	8.1				
131	5				
132	3.5				
133	1.9				
134	0				
135	0				
136	0				
137	0				
138	0				
139	0				
140	0				
141	0				
142	0				
143	1.5				
144	6.9				
145	12.7				
146	16.5				
147	20				
148	23				
149	25.7				
150	28				
151	30.7				
152	32.6				
153	34.2				
154	35.3				
155	36.9				
156	36.9				
157	37.2				
158	37.6				
159	37.6				
160	37.6				
161	37.2				
162	37.2				
163	36.9				
164	36.5				
165	36.5				
166	34.9				
167	33.4				
168	31.9				
169	29.2				
170	25				
171	25				
172	26.1				
173	27.6				
174	29.2				
175	31.1				
176	32.3				
177	34.2				
178	34.9				
